"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[158]",-5.10751214577344,0.807329542546064,-6.66701598598338,-5.65707218342691,-5.10880762479622,-4.55714048767557,-3.54193359277572,1.00280526935632,870
"mu[159]",-4.8762607549331,0.804773091821928,-6.42084427635125,-5.41948146204578,-4.88393524617715,-4.3380517754688,-3.31784298568252,1.00276508289365,880
"mu[160]",-5.0263946212578,0.142572789370166,-5.31315394377982,-5.11963386448612,-5.02758448347818,-4.92887745099253,-4.76065257302362,1.00077159850069,3000
"mu[161]",-4.84949041003718,0.139772228058719,-5.1310176932873,-4.93899966526115,-4.84975738504439,-4.75436887417691,-4.5832915875989,1.00133113725724,2400
"mu[162]",-4.40019055061478,0.138849074314398,-4.67977059103854,-4.49223772043767,-4.3991379882336,-4.30766818889746,-4.13515829490194,1.00170987660783,1700
"mu[163]",-4.05207829290548,0.137236692535862,-4.3256236633127,-4.14353321649613,-4.05060904133167,-3.95826304881452,-3.79127304713611,1.00143929068941,2100
"mu[164]",-4.0626499493117,0.13712830493359,-4.335742039956,-4.15496553913592,-4.05883938180568,-3.97195946588549,-3.80109335893346,1.00149736053816,2000
"mu[165]",-4.12907550695906,0.136561585035036,-4.40439433476667,-4.22020265036573,-4.12727543430856,-4.03832683345194,-3.87304764942564,1.00144991556144,2100
"mu[166]",-4.44852875142403,0.139116995681381,-4.72886541588672,-4.54119446738887,-4.44954825909058,-4.35247630586554,-4.18353009698743,1.00172558433084,1600
"mu[167]",-4.8223370234977,0.140730412363774,-5.09726534958932,-4.91385760531218,-4.82141400635783,-4.72612277005806,-4.54859000391908,1.00159510463523,1800
"mu[168]",-5.24131871470904,0.14495012361213,-5.52467854242839,-5.33989037762397,-5.23927951261971,-5.14677132493122,-4.96409553140697,1.00201628005116,1300
"mu[169]",-6.21986612611743,0.224349160672484,-6.63931432748051,-6.37822419086868,-6.21903573641256,-6.06462163615255,-5.78260526988749,1.00082020966377,3000
